time	V(out)
Step Information: Cx=10f  (Run: 1/11)
3.593444506815561e-004	2.979533e+000
3.615819548173922e-004	2.979534e+000
3.655819548173922e-004	2.979534e+000
3.695819548173922e-004	2.979536e+000
3.719717605008119e-004	2.979538e+000
3.736998202303037e-004	2.979541e+000
3.760158389219724e-004	2.979555e+000
3.760351169566910e-004	2.979561e+000
3.760736730261281e-004	2.979583e+000
3.760825885117615e-004	2.979584e+000
3.761034267685246e-004	2.979581e+000
3.761440565576551e-004	2.979567e+000
3.762097820450350e-004	2.979541e+000
3.762390407510633e-004	2.979532e+000
3.762975581631201e-004	2.979525e+000
3.763538973290516e-004	2.979533e+000
3.763785852500885e-004	2.979548e+000
3.763934083225282e-004	2.979566e+000
3.764072557213977e-004	2.979592e+000
3.764191157583055e-004	2.979624e+000
3.764284536919459e-004	2.979656e+000
3.764388834809502e-004	2.979702e+000
3.764486982109037e-004	2.979758e+000
3.764648341316535e-004	2.979881e+000
3.764817815978553e-004	2.980058e+000
3.765046565922099e-004	2.980387e+000
3.765296507208982e-004	2.980862e+000
3.765580778986234e-004	2.981525e+000
3.765973940990176e-004	2.982522e+000
3.766377875717122e-004	2.983458e+000
3.766832167411063e-004	2.984250e+000
3.767272967305196e-004	2.984673e+000
3.767803630464667e-004	2.984718e+000
3.768581054955291e-004	2.984185e+000
3.769369230817136e-004	2.983197e+000
3.770113536487787e-004	2.982003e+000
3.770925083072000e-004	2.980581e+000
3.771694893448859e-004	2.979200e+000
3.772504628209500e-004	2.977763e+000
3.773524127064326e-004	2.976090e+000
3.774579024335245e-004	2.974697e+000
3.775303419776010e-004	2.974139e+000
3.775808312129016e-004	2.974115e+000
3.776231502668995e-004	2.974412e+000
3.776605526070844e-004	2.974946e+000
3.776972437397857e-004	2.975695e+000
3.777475638438275e-004	2.976893e+000
3.777850838175598e-004	2.977772e+000
3.778193751154783e-004	2.978451e+000
3.778578546762293e-004	2.979011e+000
3.778965196037606e-004	2.979366e+000
3.779386544990543e-004	2.979581e+000
3.779546796443174e-004	2.979621e+000
3.779806193672101e-004	2.979639e+000
3.780065852127279e-004	2.979631e+000
3.780438750255858e-004	2.979600e+000
3.780880980596229e-004	2.979556e+000
3.782644909575849e-004	2.979494e+000
3.783660952648406e-004	2.979501e+000
3.790430563588146e-004	2.979515e+000
3.793809016154239e-004	2.979516e+000
3.800565921286427e-004	2.979518e+000
3.811442651121091e-004	2.979521e+000
3.823194638456827e-004	2.979525e+000
3.843943671149543e-004	2.979529e+000
3.863237386947207e-004	2.979531e+000
3.878532281026499e-004	2.979532e+000
3.889218299928790e-004	2.979532e+000
3.896007906866202e-004	2.979532e+000
3.903445182384093e-004	2.979532e+000
3.916097052510522e-004	2.979531e+000
3.929062997984465e-004	2.979530e+000
3.942319376702988e-004	2.979529e+000
3.955716649700128e-004	2.979528e+000
3.968290815218949e-004	2.979527e+000
3.990379023978052e-004	2.979525e+000
3.998677388998265e-004	2.979524e+000
3.999027156373732e-004	2.979544e+000
3.999185514069025e-004	2.979601e+000
3.999241177635989e-004	2.979666e+000
3.999287089525410e-004	2.979752e+000
3.999317618137063e-004	2.979808e+000
3.999357622534460e-004	2.979870e+000
3.999412236079798e-004	2.979937e+000
3.999467196073931e-004	2.979989e+000
3.999535614722032e-004	2.980035e+000
3.999611188443204e-004	2.980069e+000
3.999695258356078e-004	2.980089e+000
3.999789419345695e-004	2.980096e+000
3.999897946527757e-004	2.980086e+000
4.000024968560366e-004	2.980058e+000
4.000176507564110e-004	2.980008e+000
4.000348907220715e-004	2.979938e+000
4.000505655728498e-004	2.979871e+000
4.000663408137652e-004	2.979804e+000
4.000837628066319e-004	2.979738e+000
4.001627393949192e-004	2.979556e+000
4.002016876436740e-004	2.979519e+000
4.002459414338934e-004	2.979505e+000
4.002874752045228e-004	2.979506e+000
4.003861279388178e-004	2.979522e+000
4.006880946089254e-004	2.979530e+000
4.013631484474632e-004	2.979528e+000
4.017671689159191e-004	2.979528e+000
4.024582522934965e-004	2.979526e+000
4.038404190486512e-004	2.979524e+000
4.066047525589608e-004	2.979521e+000
4.106047525589608e-004	2.979518e+000
4.146047525589607e-004	2.979517e+000
4.181311946749795e-004	2.979517e+000
4.215404891159227e-004	2.979517e+000
4.231643194374388e-004	2.979518e+000
4.247750728503240e-004	2.979519e+000
4.264163940420682e-004	2.979520e+000
4.288051663936603e-004	2.979522e+000
4.326733102927199e-004	2.979525e+000
4.366733102927199e-004	2.979529e+000
4.406733102927200e-004	2.979533e+000
4.446733102927199e-004	2.979537e+000
4.486733102927199e-004	2.979541e+000
4.526733102927199e-004	2.979545e+000
4.537064213667696e-004	2.979573e+000
4.539333717105777e-004	2.979616e+000
4.541254026842060e-004	2.979673e+000
4.541678303918970e-004	2.979675e+000
4.542111882594644e-004	2.979664e+000
4.542520962511670e-004	2.979651e+000
4.543198114317080e-004	2.979632e+000
4.543651295638581e-004	2.979622e+000
4.544348607201282e-004	2.979610e+000
4.545179355171897e-004	2.979598e+000
4.546084882267611e-004	2.979588e+000
4.546601786704900e-004	2.979583e+000
4.547635595579478e-004	2.979576e+000
4.549228481449820e-004	2.979567e+000
4.550998862276632e-004	2.979562e+000
4.552753737324812e-004	2.979559e+000
4.557181731920932e-004	2.979556e+000
4.572361395502151e-004	2.979554e+000
4.581585015377731e-004	2.979554e+000
4.600032255128892e-004	2.979554e+000
4.636926734631215e-004	2.979555e+000
4.676926734631215e-004	2.979556e+000
4.712558041307826e-004	2.979559e+000
4.727756396722269e-004	2.979560e+000
4.739772123687094e-004	2.979564e+000
4.744983747488776e-004	2.979567e+000
4.748365733695205e-004	2.979567e+000
4.756164248557809e-004	2.979572e+000
4.758330166229492e-004	2.979569e+000
4.760510433875187e-004	2.979562e+000
4.762639663405630e-004	2.979561e+000
4.763165610819934e-004	2.979578e+000
4.763404651907154e-004	2.979603e+000
4.763504961296898e-004	2.979622e+000
4.763606182138639e-004	2.979648e+000
4.763687994300348e-004	2.979675e+000
4.763791539061593e-004	2.979719e+000
4.763894233470199e-004	2.979777e+000
4.764052983769240e-004	2.979897e+000
4.764220082209576e-004	2.980073e+000
4.764438441506455e-004	2.980395e+000
4.764675031802623e-004	2.980863e+000
4.764947503828809e-004	2.981542e+000
4.765290850092006e-004	2.982505e+000
4.765662723833827e-004	2.983524e+000
4.766077435029989e-004	2.984467e+000
4.766512731092646e-004	2.985129e+000
4.766999401727147e-004	2.985435e+000
4.767641990098985e-004	2.985294e+000
4.768335685527938e-004	2.984658e+000
4.769103753652969e-004	2.983583e+000
4.769986793144273e-004	2.982145e+000
4.770781592416769e-004	2.980811e+000
4.771621151064008e-004	2.979405e+000
4.772482340549736e-004	2.977960e+000
4.774083314799651e-004	2.975355e+000
4.775006190349219e-004	2.974109e+000
4.775653865991857e-004	2.973593e+000
4.776194028702285e-004	2.973537e+000
4.776640502372610e-004	2.973830e+000
4.777039049908928e-004	2.974405e+000
4.777434792898648e-004	2.975253e+000
4.777858683520911e-004	2.976354e+000
4.778115981908344e-004	2.977054e+000
4.778398061369839e-004	2.977763e+000
4.778776289972278e-004	2.978543e+000
4.779169995275215e-004	2.979125e+000
4.779576597488654e-004	2.979485e+000
4.779992542915220e-004	2.979674e+000
4.780138550454824e-004	2.979703e+000
4.780319006931108e-004	2.979711e+000
4.780545152199881e-004	2.979702e+000
4.780829568290714e-004	2.979675e+000
4.781268087030114e-004	2.979624e+000
4.782260605810238e-004	2.979550e+000
4.783214276122687e-004	2.979536e+000
4.784312391682191e-004	2.979544e+000
4.791339634726577e-004	2.979557e+000
4.795157207085149e-004	2.979558e+000
4.802792351802292e-004	2.979562e+000
4.818062641236577e-004	2.979568e+000
4.833162256291778e-004	2.979573e+000
4.851539074947555e-004	2.979577e+000
4.864347647573343e-004	2.979579e+000
4.877499963450351e-004	2.979580e+000
4.888967659458230e-004	2.979580e+000
4.892913390068902e-004	2.979580e+000
4.901981499503000e-004	2.979580e+000
4.912545054118398e-004	2.979580e+000
4.921520654973732e-004	2.979579e+000
4.933639090670225e-004	2.979579e+000
4.951288394995745e-004	2.979577e+000
4.972862859604880e-004	2.979576e+000
4.984494198115505e-004	2.979574e+000
4.989850328233549e-004	2.979574e+000
4.995031800217754e-004	2.979574e+000
4.999504264869969e-004	2.979573e+000
4.999576114606213e-004	2.979579e+000
4.999628851854867e-004	2.979608e+000
4.999683190237745e-004	2.979683e+000
4.999728262205240e-004	2.979772e+000
4.999764685314980e-004	2.979843e+000
4.999804825371976e-004	2.979908e+000
4.999865607950998e-004	2.979984e+000
4.999927442462741e-004	2.980042e+000
5.000005393095395e-004	2.980093e+000
5.000076231770192e-004	2.980123e+000
5.000165623944249e-004	2.980143e+000
5.000256914837193e-004	2.980147e+000
5.000373595692402e-004	2.980135e+000
5.000498742626542e-004	2.980106e+000
5.000661247738225e-004	2.980049e+000
5.000830876227103e-004	2.979979e+000
5.000981326419713e-004	2.979914e+000
5.001138957470136e-004	2.979848e+000
5.001311274063806e-004	2.979783e+000
5.001911571070102e-004	2.979631e+000
5.002335423370973e-004	2.979578e+000
5.002713785069199e-004	2.979558e+000
5.003241231942273e-004	2.979555e+000
5.004102078430457e-004	2.979568e+000
5.007239713043755e-004	2.979580e+000
5.016873722903045e-004	2.979577e+000
5.022876747862850e-004	2.979576e+000
5.034882797782460e-004	2.979574e+000
5.058894897621679e-004	2.979571e+000
5.098894897621679e-004	2.979568e+000
5.138894897621679e-004	2.979566e+000
5.173769068426651e-004	2.979566e+000
5.211308054721143e-004	2.979567e+000
5.226546914920259e-004	2.979567e+000
5.245460119224801e-004	2.979568e+000
5.263312223627469e-004	2.979569e+000
5.286666790785141e-004	2.979571e+000
5.324501953721659e-004	2.979574e+000
5.364501953721659e-004	2.979578e+000
5.404501953721659e-004	2.979582e+000
